monostable usb biometric switch rgpd - connection by m12 connector
atv320 ip66 / 3ph / 380v / 1,1 kw / with vario
planetary gearboxes gbx060009k with adaptator kit gbk 060 070 3 f, casing diameter = 60 and reduction ratio = 9:1
clear cover relay 10a vac/vdc 1co - rxg15b7
fuse disconnect switch gs1nd3, 3 poles, direct handle, nfc or din standard
acti9 xc60h 1p 0.5a…63a  miniature circuit breaker, a9n1p32c
canalis kt 3x2500co plug-in length 4m
2 plinth side panels 300x200
multi9 prd1 75r 1p t1 240v 20ka 275v surge protective device
tesys b contactor 3p 2750a 240v ac - lc1br33q22
wireless transmitter
pre-cabled motor starter - gv2dp121b7
instantaneous auxiliary contact bloc tesys - gac0521
starter-controller up to 15 kw with power base lub32, control unit lucb05fu, communication module lulc08
tesys d contactor - 3p(3 no) - ac-3 - <= 440 v 18 25 32 a -ac coil - spring term - lc1d183m7
circuit breaker compact nsx160 3p h/70ka with micrologic 4.2 vigi 100a
nsxm 100na 4p elink disconnecting switch
lc1e200 to 250 - 3p contactors - lc1e200m5n
servomotor sh3 100 8nm,nokey,multi,nobrake,str.conn,ip54/ip65,6k rpm
starter-controller up to 15 kw with power base lus12, control unit lucax6fu, communication module asilufc51, accessories lua1c20
vcb base 17.5kv 31.5ka 2500a 240 iec
clear cover relay 10a vac/vdc 1co - rxg15fd
modicon stb distributed i/o solution, power distribution modules, stb pdt 2100 k
selector switch - ø22 - standard handle - 2 positions - 1no
contactor - lc1d256fdxs207
starter-controller up to 15 kw with power base lub32, control unit lucc18fu, communication module lufda10, accessories lua1c11
starter-controller up to 15 kw with power base lus32, control unit lucb32b, communication module asilufc51, accessories lua1c11
lc1e40 to 65-  4p contactors - lc1e40008v7n
acti9 icv40 arc 1pn b 13a 30ma rcbo afdd
starter-controller up to 15 kw with power base lub32, control unit lucl12fu, communication module lulc031
starter-controller up to 15 kw with power base lus12, control unit lucd1xbl, communication module lufda01, accessories lua1c11
basic circuiit breaker compact ns630b to ns1600 4p; electically operarted withdrawable device - 33376
servomotor sh3 055 0,5nm,key,multi,brake,90°conn.ip65/ip65,9k rpm
starter-controller up to 15 kw with power base lub32, control unit luca05b, communication module lufw10, accessories lua1c20
